id,product_name,product_name_en,grocery_store,prep,veg,ingredients,ingredients_en,price_2026,weight_grams,price_per_kg_2026,image_url
9,AH Wokgroente Chinees,AH Chinese wok vegetables,Albert Heijn,pre-cut,,"25% witte kool, 25% rode paprika, 19% sperzieboon, 19% prei, 12% taugé","25% white cabbage, 25% red bell pepper, 19% green beans, 19% leek, 12% bean sprouts",2.49,400,6.23,https://www.ah-boodschappen.nl/storage/product-image/poster/2572.jpg
14,AH Wokgroente Oosters,AH Asian wok vegetables,Albert Heijn,pre-cut,,"24% rode ui, 19% paksoi, 18% prei, 16% spitskool, 12% rode paprika, 12% sojaboon","24% red onion, 19% pak choi, 18% leek, 16% pointed cabbage, 12% red bell pepper, 12% soybeans",2.59,400,6.48,https://www.ah-boodschappen.nl/storage/product-image/poster/729233.jpg
52,AH Biologisch Witte kool,AH organic white cabbage,Albert Heijn,pre-cut,white cabbage,witte kool (biologisch),white cabbage (organic),1.99,300,6.63,https://www.ah-boodschappen.nl/storage/product-image/poster/2492.jpg
50,AH Boerenkool,AH kale,Albert Heijn,pre-cut,kale,boerenkool,kale,1.99,300,6.63,https://www.ah-boodschappen.nl/storage/product-image/poster/2446.jpg
57,AH Peen julienne,AH carrot julienne,Albert Heijn,pre-cut,carrot,wortel,carrot,1.99,300,6.63,https://www.ah-boodschappen.nl/storage/product-image/poster/687933.jpg
178,AH Oven & airfryer courgette rode paprika,"AH oven & airfryer, zucchini & red bell pepper",Albert Heijn,pre-cut,,"33% wortel, 33% rode paprika, 33% courgette","33% carrot, 33% red bell pepper, 33% zucchini",3.99,600,6.65,https://static.ah.nl/dam/product/AHI_316776695f493253524d5350646b696d756543656a41?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary
181,AH Oven & airfryer groente koolraap,"AH oven & airfryer veg, rutabaga",Albert Heijn,pre-cut,,"29% koolraap, zoete aardappel, 25% pompoen, 17% rode ui","29% rutabaga, sweet potato, 25% pumpkin, 17% red onion",3.99,600,6.65,
177,AH Oven & airfryer groente zoete aardappel,"AH oven & airfryer veg, sweet potato",Albert Heijn,pre-cut,,"zoete aardappel, 30% rode paprika, 25% broccoli","sweet potato, 30% red bell pepper, 25% broccoli",3.99,600,6.65,https://static.ah.nl/dam/product/AHI_4354523130313832373732?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary
179,AH Oven & airfryer prei peen,"AH oven & airfryer, leek & carrot",Albert Heijn,pre-cut,,"20% prei, 20% wortel, 17% rode ui, 17% kastanjechampignon, 13% rode paprika, 13% broccoli","20% leek, 20% carrot, 17% red onion, 17% chestnut mushroom, 13% red bell pepper, 13% broccoli",3.99,600,6.65,https://static.ah.nl/dam/product/AHI_4354523130313839393437?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary
180,AH Oven & airfryer spruitjes pompoen,"AH oven & airfryer, Brussels sprouts & pumpkin",Albert Heijn,pre-cut,,"42% spruiten, 42% pompoen, 17% rode ui","42% Brussels sprouts, 42% pumpkin, 17% red onion",3.99,600,6.65,https://www.ah-boodschappen.nl/storage/product-image/poster/2607.jpg
183,AH Groenteschijfjes,AH veggie discs,Albert Heijn,pre-cut,,"groente (49% wortel, 49% gele wortel), maïszetmeel, specerijen, zout, raapolie","vegetables (49% carrot, 49% yellow carrot), corn starch, spices, salt, rapeseed oil",2.99,410,7.29,https://static.ah.nl/dam/product/AHI_723957783145543854544354636d5648354556446d67?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary
15,AH Luxe wok Japans champignons peultjes,"AH deluxe Japanese wok, mushroom & snow peas",Albert Heijn,pre-cut,,"23% rode ui, 18% paksoi, 17% prei, 17% gele wortel, 17% kastanjechampignon, 8% peul","23% red onion, 18% pak choi, 17% leek, 17% yellow carrot, 17% chestnut mushroom, 8% snow peas",2.99,400,7.48,https://www.ah-boodschappen.nl/storage/product-image/poster/2574.jpg
6,AH Roerbakgroente Italiaans champignons,"AH Italian stir-fry mix, mushroom",Albert Heijn,pre-cut,,"43% kastanjechampignon, 33% prei, 22% rode ui, 2,2% peterselie","43% chestnut mushroom, 33% leek, 22% red onion, 2.2% parsley",2.99,400,7.48,https://www.ah-boodschappen.nl/storage/product-image/poster/2593.jpg
5,AH Roerbakgroente Italiaans fijngesneden,"AH Italian stir-fry mix, finely sliced",Albert Heijn,pre-cut,,"31% wortel, 23% sperzieboon, 15% rode paprika, 15% rode ui, 15% broccoli","31% carrot, 23% green beans, 15% red bell pepper, 15% red onion, 15% broccoli",2.99,400,7.48,https://www.ah-boodschappen.nl/storage/product-image/poster/2594.jpg
182,AH Groentefriet,AH veggie fries,Albert Heijn,pre-cut,,"groente (33% koolraap, 32% gele wortel), zoete aardappel, maïszetmeel, specerijen, zout, raapolie","vegetables (33% rutabaga, 32% yellow carrot), sweet potato, corn starch, spices, salt, rapeseed oil",3.09,410,7.54,https://static.ah.nl/dam/product/AHI_3172615f486a344b514f714f7a425839365341717177?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary
51,AH Biologisch Rode kool,AH organic red cabbage,Albert Heijn,pre-cut,red cabbage,rode kool (biologisch),red cabbage (organic),2.29,300,7.63,https://www.ah-boodschappen.nl/storage/product-image/poster/2457.jpg
62,AH Gesneden uien grootverpakking,"AH sliced onions, large pack",Albert Heijn,pre-cut,onion,ui,onion,2.29,300,7.63,https://www.ah-boodschappen.nl/storage/product-image/poster/2660.jpg
16,AH Luxe wok Japans sojabonen wortel,"AH deluxe Japanese wok, soybean & carrot",Albert Heijn,pre-cut,,"40% paksoi, 25% witte kool, 18% wortel, 18% sojaboon","40% pak choi, 25% white cabbage, 18% carrot, 18% soybeans",3.09,400,7.73,https://www.ah-boodschappen.nl/storage/product-image/poster/2580.jpg
60,AH Muskaatpompoen stukjes,AH butternut squash pieces,Albert Heijn,pre-cut,butternut squash,muskaatpompoen,butternut squash,3.09,400,7.73,https://www.ah-boodschappen.nl/storage/product-image/poster/2383.jpg
3,AH Roerbakgroente Italiaans kleinverpakking,"AH Italian stir-fry mix, small pack",Albert Heijn,pre-cut,,"27% prei, 18% courgette, 18% rode paprika, 18% wortel, 18% ui","27% leek, 18% zucchini, 18% red bell pepper, 18% carrot, 18% onion",1.99,250,7.96,https://www.ah-boodschappen.nl/storage/product-image/poster/2589.jpg
10,AH Wokgroente Chinees kleinverpakking,"AH Chinese wok vegetables, small pack",Albert Heijn,pre-cut,,"25% rode paprika, 25% witte kool, 19% prei, 19% sperzieboon, 13% taugé","25% red bell pepper, 25% white cabbage, 19% leek, 19% green beans, 13% bean sprouts",1.99,250,7.96,https://www.ah-boodschappen.nl/storage/product-image/poster/2581.jpg
18,AH Luxe wokgroente Chinees,AH deluxe Chinese wok vegetables,Albert Heijn,pre-cut,,"34% Chinese kool, 31% courgette, 22% broccoli, 5,2% bosui, 3,1% rode peper, 2,1% gember, 2,1% knoflook","34% Chinese cabbage, 31% zucchini, 22% broccoli, 5.2% spring onion, 3.1% red chili pepper, 2.1% ginger, 2.1% garlic",3.59,400,8.98,
17,AH Luxe wok Japans,AH deluxe Japanese wok vegetables,Albert Heijn,pre-cut,,"36% Chinese kool, 23% rode ui, 18% paksoi, 18% shiitake, 3,4% rode chilipeper, 2,3% gember","36% Chinese cabbage, 23% red onion, 18% pak choi, 18% shiitake, 3.4% red chili pepper, 2.3% ginger",3.59,400,8.98,https://www.ah-boodschappen.nl/storage/product-image/poster/715535.jpg
54,AH Haricots verts,AH thin green beans,Albert Heijn,pre-cut,green beans,haricots verts,thin green beans (haricots verts),3.29,350,9.40,https://www.ah-boodschappen.nl/storage/product-image/poster/2297.jpg
61,AH Gesneden uien,AH sliced onions,Albert Heijn,pre-cut,onion,ui,onion,1.69,150,11.27,https://www.ah-boodschappen.nl/storage/product-image/poster/2657.jpg
184,AH BBQ-Ovenschaal asperge venkel,"AH BBQ/oven tray, asparagus & fennel",Albert Heijn,pre-cut,,"groente (24% rode ui, 20% groene asperge, 20% rode paprika, 20% gele paprika, 10% venkel), plantaardige olie (raap, zonnebloem), specerijen, zout, natuurlijke aroma's, kruiden, kurkuma-extract","vegetables (24% red onion, 20% green asparagus, 20% red bell pepper, 20% yellow bell pepper, 10% fennel), vegetable oil (rapeseed, sunflower), spices, salt, natural flavourings, herbs, turmeric extract",4.49,395,11.37,https://static.ah.nl/dam/product/AHI_567779567279717152646d7662354273743146673167?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary
185,"AH BBQ-Ovenschaal champignon, paprika","AH BBQ/oven tray, mushroom & bell pepper",Albert Heijn,pre-cut,,"groente (27% kastanjechampignon, 26% rode ui, 21% rode paprika, 21% gele paprika), plantaardige olie (raap, zonnebloem), specerijen, zout, natuurlijke aroma's, kruiden, kurkuma-extract","vegetables (27% chestnut mushroom, 26% red onion, 21% red bell pepper, 21% yellow bell pepper), vegetable oil (rapeseed, sunflower), spices, salt, natural flavourings, herbs, turmeric extract",4.49,365,12.30,https://static.ah.nl/dam/product/AHI_56363578477935415239697868796c44725f527a4d77?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary
175,AH Gele uien,AH whole onions (loose),Albert Heijn,whole,onion,,,1.39,1000,1.39,https://www.ah-boodschappen.nl/storage/product-image/poster/2650.jpg
169,AH Winterpeen,AH whole carrots,Albert Heijn,whole,carrot,,,1.39,1000,1.39,https://www.ah-boodschappen.nl/storage/product-image/poster/2501.jpg
171,AH Biologisch Rode kool (heel),AH whole organic red cabbage,Albert Heijn,whole,red cabbage,,,1.99,1000,1.99,https://www.ah-boodschappen.nl/storage/product-image/poster/2462.jpg
172,AH Biologisch Witte kool (heel),AH whole organic white cabbage,Albert Heijn,whole,white cabbage,,,1.99,1000,1.99,https://www.ah-boodschappen.nl/storage/product-image/poster/2493.jpg
176,AH Biologisch Flespompoen,AH whole butternut squash (organic),Albert Heijn,whole,butternut squash,,,2.98,1000,2.98,https://www.ah-boodschappen.nl/storage/product-image/poster/2384.jpg
174,AH Andijvie,AH whole endive,Albert Heijn,whole,endive,,,2.18,500,4.36,
173,AH Spitskool,AH whole pointed cabbage,Albert Heijn,whole,pointed cabbage,,,2.19,500,4.38,https://www.ah-boodschappen.nl/storage/product-image/poster/2495.jpg
170,AH Sperziebonen (heel),AH whole green beans,Albert Heijn,whole,green beans,,,2.59,500,5.18,https://www.ah-boodschappen.nl/storage/product-image/poster/2248.jpg
140,Geschrapte wortelen,Scraped baby carrots,Aldi,pre-cut,carrot,,,1.19,500,2.38,https://s7g10.scene7.com/is/image/aldinord/product_1201073_main_cms_5_nl_nl_geschrapte_wortelen_cw01_2024
130,Soepgroenten basis,Basic soup vegetables,Aldi,pre-cut,,,,1.15,400,2.88,https://s7g10.scene7.com/is/image/aldinord/variant_1223677_1_main_cms_2_nl_nl_soepgroenten_basis_cw01_2024
131,Soepgroenten fijn,Finely cut soup vegetables,Aldi,pre-cut,,,,0.99,250,3.96,https://s7g10.scene7.com/is/image/aldinord/variant_1223675_1_main_cms_3_nl_nl_soepgroenten_fijn_cw01_2024
129,Macaroni-spaghettigroenten,Macaroni & spaghetti vegetables,Aldi,pre-cut,,,,1.79,450,3.98,https://s7g10.scene7.com/is/image/aldinord/product_1220417_main_cms_3_nl_nl_macaroni_spaghettigroenten_cw01_2024
128,Nasi-bamigroenten,Nasi & bami vegetables,Aldi,pre-cut,,,,1.85,450,4.11,https://s7g10.scene7.com/is/image/aldinord/product_1221345_main_cms_4_nl_nl_nasi_bamigroenten_cw01_2024
135,Gesneden andijvie,Sliced endive,Aldi,pre-cut,endive,,,1.69,400,4.23,https://s7g10.scene7.com/is/image/aldinord/product_1220980_main_cms_1_nl_nl_gesneden_andijvie_cw01_2024
125,Chinese roerbakmix,Chinese stir-fry mix,Aldi,pre-cut,,,,1.75,400,4.38,https://s7g10.scene7.com/is/image/aldinord/product_1219037_main_cms_4_nl_nl_chinese_roerbakmix_cw01_2024
136,Spinazie,Spinach,Aldi,pre-cut,spinach,,,1.99,450,4.42,https://s7g10.scene7.com/is/image/aldinord/product_1212537_main_cms_2_nl_nl_spinazie_cw01_2024
134,Gesneden spitskool,Sliced pointed cabbage,Aldi,pre-cut,pointed cabbage,,,0.99,200,4.95,https://s7g10.scene7.com/is/image/aldinord/product_1230302_main_cms_4_nl_nl_gesneden_spitskool_cw01_2024
137,Gebroken sperziebonen,Cut green beans,Aldi,pre-cut,green beans,,,2.19,400,5.48,https://s7g10.scene7.com/is/image/aldinord/product_1230390_main_cms_2_nl_nl_gebroken_sperziebonen_cw01_2024
126,Italiaanse roerbakmix,Italian stir-fry mix,Aldi,pre-cut,,,,2.19,400,5.48,https://s7g10.scene7.com/is/image/aldinord/product_1220804_main_cms_2_nl_nl_italiaanse_roerbakmix_cw01_2024
127,Roerbakmix champignon,Mushroom stir-fry mix,Aldi,pre-cut,,,,2.19,400,5.48,https://s7g10.scene7.com/is/image/aldinord/product_1202053_main_cms_3_nl_nl_roerbakmix_champignon_cw01_2024
132,Bloemkoolroosjes,Cauliflower florets,Aldi,pre-cut,cauliflower,,,2.29,400,5.73,https://s7g10.scene7.com/is/image/aldinord/product_1230346_main_cms_4_nl_nl_bloemkoolroosjes_cw01_2024
133,Broccoliroosjes,Broccoli florets,Aldi,pre-cut,broccoli,,,2.29,400,5.73,https://s7g10.scene7.com/is/image/aldinord/product_1230307_main_cms_4_nl_nl_broccoliroosjes_cw01_2024
138,Gesneden snijbonen,Sliced runner beans,Aldi,pre-cut,runner beans,,,2.29,400,5.73,https://s7g10.scene7.com/is/image/aldinord/product_1230387_main_cms_1_nl_nl_gesneden_snijbonen_cw01_2024
139,Wortel julienne,Carrot julienne,Aldi,pre-cut,carrot,,,0.99,150,6.60,https://s7g10.scene7.com/is/image/aldinord/product_1234744_main_cms_3_nl_nl_wortel_julienne_cw01_2024
141,Taugé,Bean sprouts,Aldi,pre-cut,bean sprouts,,,0.99,125,7.92,https://s7g10.scene7.com/is/image/aldinord/product_1220000_main_cms_2_nl_nl_tauge_cw01_2024
142,Waspeen,Whole carrots,Aldi,whole,carrot,,,0.99,500,1.98,https://s7g10.scene7.com/is/image/aldinord/product_1222071_main_cms_1_nl_nl_waspeen_cw01_2024
146,Broccoli,Whole broccoli,Aldi,whole,broccoli,,,1.19,500,2.38,https://s7g10.scene7.com/is/image/aldinord/product_1219260_main_cms_2_nl_nl_broccoli_cw01_2024
147,Bloemkool,Whole cauliflower,Aldi,whole,cauliflower,,,1.75,600,2.92,https://s7g10.scene7.com/is/image/aldinord/product_1219445_main_cms_10_nl_nl_bloemkool_cw01_2024
145,Spitskool,Whole pointed cabbage,Aldi,whole,pointed cabbage,,,1.69,500,3.38,https://s7g10.scene7.com/is/image/aldinord/product_1222243_main_cms_7_nl_nl_spitskool_cw01_2024
143,Sperziebonen,Whole green beans,Aldi,whole,green beans,,,1.99,500,3.98,https://s7g10.scene7.com/is/image/aldinord/product_1219272_main_cms_11_nl_nl_sperziebonen_cw01_2024
144,Snijbonen,Whole runner beans,Aldi,whole,runner beans,,,2.29,400,5.72,https://s7g10.scene7.com/is/image/aldinord/product_1218437_main_cms_9_nl_nl_snijbonen_cw01_2024
71,Worteltjes geschrapt voordeel,"Scraped baby carrots, value pack",DekaMarkt,pre-cut,carrot,wortel,carrot,1.69,500,3.38,https://web-fileserver.dekamarkt.nl/artikelen/224667_1_473744_638810247371785367.png?width=500&height=500&mode=crop
70,Worteltjes geschrapt,Scraped baby carrots,DekaMarkt,pre-cut,carrot,wortel,carrot,1.19,300,3.97,https://web-fileserver.dekamarkt.nl/artikelen/224666_1_473743_638810247359732724.png?width=500&height=500&mode=crop
43,Bami-nasi groente,Bami & nasi vegetables,DekaMarkt,pre-cut,,"spitskool, prei, taugé, ui, wortel, rode peper","pointed cabbage, leek, bean sprouts, onion, carrot, red chili pepper",1.79,450,3.98,https://web-fileserver.dekamarkt.nl/artikelen/224646_1_472689_638810862504332418.png?width=500&height=500&mode=crop
45,Macaroni-spaghetti groente,Macaroni & spaghetti vegetables,DekaMarkt,pre-cut,,"prei, ui, paprika","leek, onion, bell pepper",1.79,450,3.98,https://web-fileserver.dekamarkt.nl/artikelen/204982_1_472690_638665041709601155.png?width=500&height=500&mode=crop
67,Andijvie grof,Coarsely cut endive,DekaMarkt,pre-cut,endive,andijvie,endive,1.75,400,4.38,https://web-fileserver.dekamarkt.nl/artikelen/216522_1_473737_638748654639630564.png?width=500&height=500&mode=crop
28,Roerbakgroente champignon,Mushroom stir-fry mix,DekaMarkt,pre-cut,,"43% kastanjechampignons, 32% prei, 22% rode ui, peterselie","43% chestnut mushrooms, 32% leek, 22% red onion, parsley",1.79,400,4.48,https://web-fileserver.dekamarkt.nl/artikelen/224521_1_453800_638810241754761095.png?width=500&height=500&mode=crop
30,Roerbakgroente chinese stijl,Chinese-style stir-fry mix,DekaMarkt,pre-cut,,"26% witte kool, prei, 19% sperziebonen, 16% taugé, rode paprika","26% white cabbage, leek, 19% green beans, 16% bean sprouts, red bell pepper",1.79,400,4.48,https://web-fileserver.dekamarkt.nl/artikelen/165565_1_453802_638288130866272235.png?width=500&height=500&mode=crop
32,Roerbakgroente italiaanse stijl,Italian-style stir-fry mix,DekaMarkt,pre-cut,,"24% prei, 19% courgette, ui, 19% rode paprika, wortel","24% leek, 19% zucchini, onion, 19% red bell pepper, carrot",1.79,400,4.48,https://web-fileserver.dekamarkt.nl/artikelen/165579_1_453862_638288130886962470.png?width=500&height=500&mode=crop
35,Wokgroente fijne,Finely cut wok vegetables,DekaMarkt,pre-cut,,"21% witte kool, 17% prei, 17% rode paprika, rode ui, broccoli, courgette","21% white cabbage, 17% leek, 17% red bell pepper, red onion, broccoli, zucchini",1.79,400,4.48,https://web-fileserver.dekamarkt.nl/artikelen/224524_1_453805_638810241725785802.png?width=500&height=500&mode=crop
40,Wokgroente chinese stijl,Chinese-style wok vegetables,DekaMarkt,pre-cut,,"26% witte kool, prei, 19% sperziebonen, 16% taugé, paprika","26% white cabbage, leek, 19% green beans, 16% bean sprouts, bell pepper",2.79,600,4.65,https://web-fileserver.dekamarkt.nl/artikelen/223460_1_477421_638798754370226624.png?width=500&height=500&mode=crop
75,Rode kool,Red cabbage,DekaMarkt,pre-cut,red cabbage,rode kool,red cabbage,1.89,400,4.73,https://web-fileserver.dekamarkt.nl/artikelen/214875_1_473736_638742667114713373.png?width=500&height=500&mode=crop
66,Fijngesneden andijvie voordeelverpakking,"Finely sliced endive, value pack",DekaMarkt,pre-cut,,andijvie,endive,2.39,500,4.78,https://web-fileserver.dekamarkt.nl/artikelen/224518_1_453771_638810229604174685.png?width=500&height=500&mode=crop
69,Prei fijn,Finely cut leek,DekaMarkt,pre-cut,leek,prei,leek,0.99,200,4.95,https://web-fileserver.dekamarkt.nl/artikelen/224663_1_473739_638810247361757077.png?width=500&height=500&mode=crop
74,Bloemkoolrijst,Cauliflower rice,DekaMarkt,pre-cut,cauliflower,bloemkool,cauliflower (riced),1.99,400,4.98,https://web-fileserver.dekamarkt.nl/artikelen/214873_1_473734_638742667069661145.png?width=500&height=500&mode=crop
33,Roerbakgroente italiaanse stijl voordeel,"Italian-style stir-fry mix, value pack",DekaMarkt,pre-cut,,"24% prei, 19% courgette, ui, 19% rode paprika, wortel","24% leek, 19% zucchini, onion, 19% red bell pepper, carrot",2.99,600,4.98,https://web-fileserver.dekamarkt.nl/artikelen/224532_1_453863_638810241736750457.png?width=500&height=500&mode=crop
64,Spinazie gewassen,Washed spinach,DekaMarkt,pre-cut,spinach,spinazie,spinach,1.99,400,4.98,https://web-fileserver.dekamarkt.nl/artikelen/224550_1_454196_638810241768839777.png?width=500&height=500&mode=crop
76,Spitskool,Pointed cabbage,DekaMarkt,pre-cut,pointed cabbage,spitskool,pointed cabbage,1.09,200,5.45,https://web-fileserver.dekamarkt.nl/artikelen/224551_1_454198_638810241770790452.png?width=500&height=500&mode=crop
